# room=440065813_vcom host=192.168.1.195 port=4901
[08:35:06.636][RX] 72782030  |  rx 0
[08:35:29.127][RX] 686f643a2027706b74272f276669666f270d0a20202020202020202020202020  |  hod: 'pkt'/'fifo'\r\n             
[08:35:29.130][RX] 202020202020205b737472696e675d2072784d6574686f643a  |         [string] rxMethod:
[08:35:29.132][RX] 2027706b74272f276669666f270d0a2020202020202020202020202020202020  |   'pkt'/'fifo'\r\n                 
[08:35:29.135][RX] 2020205b75696e74386f70745d205241494c5f52784461746153  |     [uint8opt] RAIL_RxDataS
[08:35:29.138][RX] 6f757263655f7420283e30206e65656473206669666f206d6f6465290d0a2020  |  ource_t (>0 needs fifo mode)\r\n  
[08:35:29.139][RX] 2020202020202020202020202020202020205b75696e74386f  |                    [uint8o
[08:35:29.143][RX] 70745d205241494c5f547844617461536f757263655f7420283e30206e656564  |  pt] RAIL_TxDataSource_t (>0 need
[08:35:29.145][RX] 732070696e672d706f6e6720627566666572290d0a7365745278  |  s ping-pong buffer)\r\nsetRx
[08:35:29.147][RX] 4669666f20202020202020202020205365742074686520726563656976652062  |  Fifo           Set the receive b
[08:35:29.150][RX] 7566666572206c656e6774682e0d0a20202020202020202020  |  uffer length.\r\n          
